_id,date,type,userName,amount,description,products[0].SKU,products[1].SKU,products[2].SKU,products[0].heb,products[0].Inventory,products[1].Inventory,products[2].Inventory,products[0][0].Inventory,products[0][1].Inventory,products[0][2].Inventory,products[0][3].Inventory,products[0][4].Inventory,products[0][5].Inventory,products[0][6].Inventory,products[0][7].Inventory,products[0][8].Inventory,products[0][9].Inventory,products[0][10].Inventory,products[0][11].Inventory,products[0][12].Inventory,products[0][13].Inventory,products[0][14].Inventory,products[0][15].Inventory,products[0][16].Inventory,products[0][17].Inventory,products[0][18].Inventory,products[0][19].Inventory,products[0][20].Inventory,products[0][21].Inventory,products[0][22].Inventory,products[0][23].Inventory,products[0][0].SKU,products[0][1].SKU,products[0][2].SKU,products[0][3].SKU,products[0][4].SKU,products[0][5].SKU,products[0][6].SKU,products[0][7].SKU,products[0][8].SKU,products[0][9].SKU,products[0][10].SKU,products[0][11].SKU,products[0][12].SKU,products[0][13].SKU,products[0][14].SKU,products[0][15].SKU,products[0][16].SKU,products[0][17].SKU,products[0][18].SKU,products[0][19].SKU,products[0][20].SKU,products[0][21].SKU,products[0][22].SKU,products[0][23].SKU,products[0]._id,products[1]._id,products[2]._id,products[0].Description-Heb,products[1].Description-Heb,products[2].Description-Heb,products[0].Description-Eng,products[1].Description-Eng,products[2].Description-Eng,products[0].Cost,products[1].Cost,products[2].Cost,products[0].Price,products[1].Price,products[2].Price,products[0].USDPrice,products[1].USDPrice,products[2].USDPrice,products[0].MinimumLevel,products[1].MinimumLevel,products[2].MinimumLevel,products[0].LastUpdate,products[1].LastUpdate,products[2].LastUpdate,products[0].Location,products[1].Location,products[2].Location,SKUs[0],SKUs[1],SKUs[2],SKUs[3],SKUs[4],SKUs[5],SKUs[6],SKUs[7],SKUs[8],SKUs[9],SKUs[10],SKUs[11],SKUs[12],SKUs[13],SKUs[14],SKUs[15],SKUs[16],SKUs[17],SKUs[18],SKUs[19],SKUs[20],SKUs[21],SKUs[22],SKUs[23],products[0].SortOrder,products[1].SortOrder,products[2].SortOrder
65a82d7420360a2fccaaac9f,2024-01-17T19:41:40.161Z,Updated 10000010000 ,no-user,1,Updated 10000010000 - Inventory: 2580,10000010000,,,,2580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82d8620360a2fccaaaca0,2024-01-17T19:41:58.786Z,Updated 10000010000 in bulk update,no-user,1,Updated 10000010000 - Inventory: 2582,10000010000,,,,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82d8620360a2fccaaaca1,2024-01-17T19:41:58.786Z,Updated 10000050000 in bulk update,no-user,1,Updated 10000050000 - Inventory: 485,10000050000,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82d8620360a2fccaaaca2,2024-01-17T19:41:58.786Z,Bulk Update,no-user,2,Bulk update,,,,,,,,2582,485,,,,,,,,,,,,,,,,,,,,,,,10000010000,10000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82da620360a2fccaaaca4,2024-01-17T19:42:30.463Z,Updated 10000050000 in bulk update,no-user,1,Updated 10000050000 - Inventory: 486,10000050000,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82da620360a2fccaaaca3,2024-01-17T19:42:30.463Z,Updated 10000010000 in bulk update,no-user,1,Updated 10000010000 - Inventory: 2583,10000010000,,,,2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82da620360a2fccaaaca5,2024-01-17T19:42:30.463Z,Bulk Update,no-user,2,Bulk update,,,,,,,,2583,486,,,,,,,,,,,,,,,,,,,,,,,10000010000,10000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82db720360a2fccaaaca6,2024-01-17T19:42:47.175Z,Updated 10000010000 ,no-user,1,Updated 10000010000 - Inventory: 2582,10000010000,,,,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82dbb20360a2fccaaaca7,2024-01-17T19:42:51.766Z,Updated 10000050000 ,no-user,1,Updated 10000050000 - Inventory: 485,10000050000,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82e7d7120c90034d234f0,2024-01-17T19:46:05.520Z,Updated 10000000001 ,no-user,1,Updated 10000000001 - Inventory: 90,10000000001,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a82edb7120c90034d234f1,2024-01-17T19:47:39.142Z,Updated 10000000001 ,no-user,1,Updated 10000000001 - Inventory: 92,10000000001,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a8eda724171a60d0fd44af,2024-01-18T09:21:43.639Z,Updated 10000000001 ,no-user,1,Updated 10000000001 - Inventory: 92,10000000001,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a8f99d1dc85d0034823560,2024-01-18T10:12:44.996Z,Updated 11145090300 ,no-user,1,Updated 11145090300 - Inventory: 1002,11145090300,,,,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a8fb7f1dc85d0034823561,2024-01-18T10:20:47.724Z,Updated 10000010000,no-user,1,Updated 10000010000 - פתיל ראבד,10000010000,,,,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65a65096c7577fa2d8246fab,,,פתיל ראבד,,,Strings Raavad,,,126.75,,,195,,,55,,,5,,,2024-01-17T19:42:47.338Z,,,B-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a8fb9e1dc85d0034823562,2024-01-18T10:21:18.672Z,Updated 10000020000,no-user,2,Updated 10000020000 - פתיל ראבד עבה,10000020000,,,,-3530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65a65096c7577fa2d8246fac,,,פתיל ראבד עבה,,,Strings Raavad Thick,,,146.25,,,225,,,65,,,5,,,2024-01-15T14:46:40.000Z,,,C-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a8fbd31dc85d0034823563,2024-01-18T10:22:11.885Z,Updated 10000010000 ,no-user,1,Updated 10000010000 - Inventory: 1000,10000010000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a9190600cecc16888ce475,2024-01-18T12:26:44.412Z,Updated 10000000001,no-user,1,Updated 10000000001 - Inventory: 90,10000000001,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
65a9192300cecc16888ce476,2024-01-18T12:27:15.631Z,Updated 10000000001,no-user,1,Updated 10000000001 - Inventory: 92,10000000001,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
65a9194c00cecc16888ce477,2024-01-18T12:27:56.609Z,Updated Invetory,no-user,2,Updated 10000010000 - פתיל ראבד,10000010000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65a65096c7577fa2d8246fab,,,פתיל ראבד,,,Strings Raavad,,,126.75,,,195,,,55,,,5,,,2024-01-18T10:22:12.009Z,,,B-58,,,10000010000,,,,,,,,,,,,,,,,,,,,,,,,,,
65a91a436939180034f5e72c,2024-01-18T12:32:03.643Z,Updated 10950000000 ,no-user,1,Updated 10950000000 - Inventory: 4,10950000000,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a91a566939180034f5e72d,2024-01-18T12:32:22.874Z,Updated 10950000000 ,no-user,1,Updated 10950000000 - Inventory: 5,10950000000,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65a91a5aad49b56a240b9ef5,2024-01-18T12:32:26.064Z,Updated 10000010000,no-user,1,Updated 10000010000 - Inventory: 1000,10000010000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000010000,,,,,,,,,,,,,,,,,,,,,,,,,,
65a91a6dad49b56a240b9ef6,2024-01-18T12:32:45.934Z,Added Invetory,no-user,2,Updated 10000010000 - פתיל ראבד,10000010000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65a65096c7577fa2d8246fab,,,פתיל ראבד,,,Strings Raavad,,,126.75,,,195,,,55,,,5,,,2024-01-18T12:32:25.897Z,,,B-58,,,10000010000,,,,,,,,,,,,,,,,,,,,,,,,,,
